ssh5spnd	サムライスピリッツ零スペシャル (non encrypted P decrypted C)	さむらいすぴりっつ_6_2ぜろすぺしゃる	Playmore Corporation / Yuki Enterprise
roishtar2p	イシターの復活 (2 Players for kaillera)	いしたーのふっかつ	Namco
hotgmck_k	対戦ホットギミック (日本版 / kaillera)	たいせんほっとぎみっく_1	Psikyo
hgkairak_k	対戦ホットギミック 快楽天 (日本版 / kaillera)	たいせんほっとぎみっく_2かいらくてん	Psikyo
hotgmck3_k	対戦ホットギミック３ デジタルサーフィン (日本版 / kaillera)	たいせんほっとぎみっく_3でじたるさーふぃん	Psikyo
loderndf_k	ロードランナー・ザ・ディグファイト (日本版 ver B / co kaillera)	ろーどらんなー_5ざでぃぐふぁいと	Psikyo
loderndf_vs	ロードランナー・ザ・ディグファイト (日本版 ver B / vs kaillera)	ろーどらんなー_5ざでぃぐふぁいと	Psikyo
hotdebut_k	クイズでアイドル！ ホットデビュー (日本版 / kaillera)	くいずであいどるほっとでびゅー	Psikyo / Moss
captcomm3p	キャプテンコマンドー (海外版 911014 / 3 Players for kaillera)	きゃぷてんこまんどー	Capcom
captcomu3p	キャプテンコマンドー (USA版 910928 / 3 Players for kaillera)	きゃぷてんこまんどー	Capcom
captcomj3p	キャプテンコマンドー (日本版 911202 / 3 Players for kaillera)	きゃぷてんこまんどー	Capcom
captcomm4p	キャプテンコマンドー (海外版 911014 / 4 Players for kaillera)	きゃぷてんこまんどー	Capcom
captcomu4p	キャプテンコマンドー (USA版 910928 / 4 Players for kaillera)	きゃぷてんこまんどー	Capcom
captcomj4p	キャプテンコマンドー (日本版 911202 / 4 Players for kaillera)	きゃぷてんこまんどー	Capcom
avsp3p	エイリアン ＶＳ． プレデター (欧州版 940520 / 3 Players for kaillera)	えいりあんばーさすぷれでたー	Capcom
avspu3p	エイリアン ＶＳ． プレデター (USA版 940520 / 3 Players for kaillera)	えいりあんばーさすぷれでたー	Capcom
avspj3p	エイリアン ＶＳ． プレデター (日本版 940520 / 3 Players for kaillera)	えいりあんばーさすぷれでたー	Capcom
avspa3p	エイリアン ＶＳ． プレデター (アジア版 940520 / 3 Players for kaillera)	えいりあんばーさすぷれでたー	Capcom
batcir4p	バトルサーキット (欧州版 970319 / 4 Players for kaillera)	ばとるさーきっと	Capcom
batcirj4p	バトルサーキット (日本版 970319 / 4 Players for kaillera)	ばとるさーきっと	Capcom
ddsom4p	ダンジョンズ＆ドラゴンズ -シャドーオーバーミスタラ (欧州版 960619 / 4 Players for kaillera)	だんじょんずあんどどらごんず_2しゃどーおーばーみすたら	Capcom
ddsomr2_4p	ダンジョンズ＆ドラゴンズ -シャドーオーバーミスタラ (欧州版 960209 / 4 Players for kaillera)	だんじょんずあんどどらごんず_2しゃどーおーばーみすたら	Capcom
ddsomu4p	ダンジョンズ＆ドラゴンズ -シャドーオーバーミスタラ (USA版 960619 / 4 Players for kaillera)	だんじょんずあんどどらごんず_2しゃどーおーばーみすたら	Capcom
ddsomur1_4p	ダンジョンズ＆ドラゴンズ -シャドーオーバーミスタラ (USA版 960209 / 4 Players for kaillera)	だんじょんずあんどどらごんず_2しゃどーおーばーみすたら	Capcom
ddsomjr1_4p	ダンジョンズ＆ドラゴンズ -シャドーオーバーミスタラ (日本版 960206 / 4 Players for kaillera)	だんじょんずあんどどらごんず_2しゃどーおーばーみすたら	Capcom
ddsomj4p	ダンジョンズ＆ドラゴンズ -シャドーオーバーミスタラ (日本版 960619 / 4 Players for kaillera)	だんじょんずあんどどらごんず_2しゃどーおーばーみすたら	Capcom
ddsoma4p	ダンジョンズ＆ドラゴンズ -シャドーオーバーミスタラ (アジア版 960619 / 4 Players for kaillera)	だんじょんずあんどどらごんず_2しゃどーおーばーみすたら	Capcom
tgm2	テトリス ジ・アブソリュート ザ・グランドマスター2	てとりす_4_1じあぶそりゅーとざぐらんどますたー2	Arika
tgm2p	テトリス ジ・アブソリュート ザ・グランドマスター2 Plus	てとりす_4_2じあぶそりゅーとざぐらんどますたー2ぷらす	Arika
lbowling4p	リーグ・ボウリング (4 Players for kailera)	りーぐぼうりんぐ	SNK
kof95_6p	ザ・キング・オブ・ファイターズ '95 (6 Players for kaillera)	ざきんぐおぶふぁいたーず_02_1995	SNK
kof98_6p	ザ・キング・オブ・ファイターズ '98 (6 Players for kaillera)	ざきんぐおぶふぁいたーず_05_1998	SNK
sfa3p	ストリートファイターZERO3 / Street Fighter Alpha 3 (USA版 980904 / Battle Modes Unlocked)	すとりーとふぁいたー_6ぜろ_3	Capcom
sfa3up	ストリートファイターZERO3 / Street Fighter Alpha 3 (USA版 980904 / Battle Modes Unlocked)	すとりーとふぁいたー_6ぜろ_3	Capcom
sfa3ur1p	ストリートファイターZERO3 / Street Fighter Alpha 3 (USA版 980629 / Battle Modes Unlocked)	すとりーとふぁいたー_6ぜろ_3	Capcom
